# producers=10 consumers=1 q=3 timeout=20 verbose=1
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,9,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,0,1,1,2,0
0,P_WRITE,P,1,0,1,1,3,0
1,P_START,P,2,-1,-1,-1,3,0
1,P_START,P,3,-1,-1,-1,3,0
1,P_START,P,4,-1,-1,-1,3,0
1,P_START,P,5,-1,-1,-1,3,0
1,P_START,P,6,-1,-1,-1,3,0
1,P_START,P,7,-1,-1,-1,3,0
1,P_START,P,8,-1,-1,-1,3,0
1,P_START,P,9,-1,-1,-1,3,0
1,C_START,C,0,-1,-1,-1,3,0
1,C_READ,C,0,0,1,1,2,0
1,P_WRITE,P,2,4,2,2,3,0
13207,C_READ,C,0,4,2,2,2,0
13207,P_WRITE,P,8,6,8,8,3,13206
15665,C_READ,C,0,6,8,8,2,0
15665,P_WRITE,P,7,9,7,7,3,15664
17861,C_READ,C,0,9,7,7,2,0
17861,P_WRITE,P,2,9,2,2,2,12915
17861,C_READ,C,0,0,1,1,2,0
17861,C_READ,C,0,9,2,2,1,0
17861,P_WRITE,P,5,9,5,5,1,17860
17861,P_WRITE,P,4,3,4,4,2,17860
17861,P_WRITE,P,3,8,3,3,3,17860
17861,C_READ,C,0,9,0,0,1,0
17861,C_READ,C,0,9,5,5,2,0
17861,P_WRITE,P,7,7,7,7,3,2196
20001,STOP_SET_TIMEOUT,M,0,-1,-1,-1,3,0
20004,P_EXIT,P,8,-1,-1,-1,3,0
20017,P_EXIT,P,2,-1,-1,-1,3,0
20019,P_EXIT,P,6,-1,-1,-1,3,0
20075,P_EXIT,P,4,-1,-1,-1,3,0
20103,P_EXIT,P,5,-1,-1,-1,3,0
20126,P_EXIT,P,1,-1,-1,-1,3,0
20126,P_EXIT,P,3,-1,-1,-1,3,0
20129,C_EXIT,C,0,-1,-1,-1,3,0
20151,P_EXIT,P,0,-1,-1,-1,3,0
20156,P_EXIT,P,9,-1,-1,-1,3,0
20197,P_EXIT,P,7,-1,-1,-1,3,0
# summary start_failed=0 started_producers=10 started_consumers=1 prod_ops=11 cons_ops=8 runtime_s=20.197 throughput=0.396 prod_block_ms=97561 prod_block_ev=7 cons_block_ms=0 cons_block_ev=0 max_q=3
20197,RUN_END,M,0,-1,-1,-1,3,0
