# producers=5 consumers=3 q=10 timeout=20 verbose=1
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,7,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,6,1,1,2,0
0,P_START,P,2,-1,-1,-1,2,0
0,P_WRITE,P,2,0,2,2,3,0
0,P_WRITE,P,2,7,2,2,4,0
0,P_WRITE,P,2,5,2,2,5,0
0,P_START,P,3,-1,-1,-1,5,0
0,P_WRITE,P,3,4,3,3,6,0
0,P_WRITE,P,3,3,3,3,7,0
0,P_START,P,4,-1,-1,-1,7,0
0,P_WRITE,P,4,9,4,4,8,0
0,P_WRITE,P,4,6,4,4,9,0
0,C_START,C,0,-1,-1,-1,9,0
0,C_READ,C,0,9,4,4,8,0
0,C_START,C,2,-1,-1,-1,8,0
0,C_READ,C,2,6,4,4,7,0
0,C_READ,C,2,4,3,3,6,0
0,C_START,C,1,-1,-1,-1,9,0
0,C_READ,C,1,3,3,3,5,0
2018,P_WRITE,P,0,1,0,0,6,0
2069,C_READ,C,2,0,2,2,5,0
2261,P_WRITE,P,1,8,1,1,6,0
2262,P_WRITE,P,1,4,1,1,7,0
2262,P_WRITE,P,1,2,1,1,8,0
3078,C_READ,C,0,7,2,2,7,0
3095,P_WRITE,P,4,9,4,4,8,0
3095,P_WRITE,P,4,8,4,4,9,0
3095,P_WRITE,P,4,9,4,4,10,0
4079,C_READ,C,0,9,4,4,9,0
4079,P_WRITE,P,4,0,4,4,10,984
5313,C_READ,C,1,8,4,4,9,0
5314,P_WRITE,P,3,0,3,3,10,1844
5419,C_READ,C,0,9,4,4,9,0
5419,P_WRITE,P,0,5,0,0,10,1359
6940,C_READ,C,2,0,4,4,9,0
6940,P_WRITE,P,1,9,1,1,10,3662
8940,C_READ,C,0,0,3,3,9,0
8940,P_WRITE,P,3,1,3,3,9,2043
8940,P_WRITE,P,0,2,0,0,10,976
8940,C_READ,C,0,5,2,2,9,0
9501,C_READ,C,2,1,3,3,9,0
9501,P_WRITE,P,1,9,1,1,10,1323
10079,C_READ,C,1,6,1,1,9,0
10079,P_WRITE,P,2,5,2,2,10,6608
10515,C_READ,C,2,5,2,2,9,0
10516,P_WRITE,P,3,7,3,3,10,557
11240,C_READ,C,0,7,3,3,9,0
11240,P_WRITE,P,1,8,1,1,10,1739
14075,C_READ,C,1,8,1,1,9,1
14075,P_WRITE,P,0,6,0,0,10,2823
14589,C_READ,C,0,4,1,1,9,0
14589,P_WRITE,P,2,3,2,2,10,4510
16091,C_READ,C,1,3,2,2,9,0
16092,C_READ,C,1,2,1,1,8,0
16092,P_WRITE,P,0,1,0,0,9,769
16092,P_WRITE,P,4,6,4,4,10,9854
17134,C_READ,C,1,6,4,4,9,0
17134,P_WRITE,P,2,5,2,2,10,2545
19608,C_READ,C,2,5,2,2,9,0
19608,C_READ,C,2,1,3,3,9,0
19608,P_WRITE,P,3,1,3,3,10,9092
19608,P_WRITE,P,1,2,1,1,10,8368
20026,STOP_SET_TIMEOUT,M,0,-1,-1,-1,10,0
20026,P_EXIT,P,4,-1,-1,-1,10,0
20032,C_EXIT,C,1,-1,-1,-1,10,0
20034,C_EXIT,C,0,-1,-1,-1,10,0
20059,P_EXIT,P,0,-1,-1,-1,10,0
20205,P_EXIT,P,2,-1,-1,-1,10,0
20210,P_EXIT,P,3,-1,-1,-1,10,0
20210,P_EXIT,P,1,-1,-1,-1,10,0
20235,C_EXIT,C,2,-1,-1,-1,10,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=33 cons_ops=23 runtime_s=20.235 throughput=1.137 prod_block_ms=59056 prod_block_ev=17 cons_block_ms=1 cons_block_ev=1 max_q=10
20235,RUN_END,M,0,-1,-1,-1,10,0
