# producers=5 consumers=3 q=20 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,5,0,0,1,0
0,P_WRITE,P,0,4,0,0,2,0
0,P_START,P,1,-1,-1,-1,2,0
0,P_WRITE,P,1,4,1,1,3,0
0,P_WRITE,P,1,1,1,1,4,0
0,P_START,P,2,-1,-1,-1,4,0
0,P_WRITE,P,2,0,2,2,5,0
0,P_WRITE,P,2,0,2,2,6,0
0,P_WRITE,P,2,2,2,2,7,0
0,P_WRITE,P,2,8,2,2,8,0
0,P_WRITE,P,2,0,2,2,9,0
0,P_START,P,3,-1,-1,-1,9,0
0,P_WRITE,P,3,8,3,3,10,0
0,P_START,P,4,-1,-1,-1,10,0
0,P_WRITE,P,4,9,4,4,11,0
0,P_WRITE,P,4,1,4,4,12,0
0,C_START,C,0,-1,-1,-1,12,0
0,C_READ,C,0,9,4,4,11,0
0,C_READ,C,0,1,4,4,10,0
0,C_START,C,1,-1,-1,-1,10,0
0,C_READ,C,1,8,3,3,9,0
0,C_START,C,2,-1,-1,-1,9,0
0,C_READ,C,2,0,2,2,8,0
1039,P_WRITE,P,1,7,1,1,9,0
1039,P_WRITE,P,2,7,2,2,10,0
1039,P_WRITE,P,3,4,3,3,11,0
2040,P_WRITE,P,4,0,4,4,12,0
2040,P_WRITE,P,4,1,4,4,15,0
2040,P_WRITE,P,4,8,4,4,16,0
2040,P_WRITE,P,0,6,0,0,13,0
2040,P_WRITE,P,2,0,2,2,14,0
2040,P_WRITE,P,0,3,0,0,17,0
2040,P_WRITE,P,0,3,0,0,18,0
2040,P_WRITE,P,0,7,0,0,19,0
3019,C_READ,C,1,0,4,4,18,0
3041,P_WRITE,P,3,5,3,3,19,0
3041,P_WRITE,P,0,4,0,0,20,0
4046,C_READ,C,2,1,4,4,19,0
4046,P_WRITE,P,1,1,1,1,20,1005
4047,C_READ,C,0,8,4,4,19,0
4047,P_WRITE,P,4,8,4,4,20,1006
5046,C_READ,C,1,8,4,4,19,0
5046,P_WRITE,P,2,3,2,2,20,1000
6066,C_READ,C,2,4,3,3,19,0
6066,C_READ,C,2,5,3,3,18,0
6066,P_WRITE,P,3,0,3,3,19,2020
6066,P_WRITE,P,1,2,1,1,20,1018
6118,C_READ,C,1,0,3,3,19,0
6118,P_WRITE,P,0,9,0,0,20,2072
8106,P_WRITE,P,3,2,3,3,20,0
8106,C_READ,C,0,0,2,2,20,0
9072,C_READ,C,2,2,3,3,19,0
9072,P_WRITE,P,4,1,4,4,20,4024
9072,C_READ,C,2,1,4,4,19,0
9072,P_WRITE,P,2,0,2,2,20,3001
9122,C_READ,C,1,2,2,2,19,0
9122,P_WRITE,P,0,4,0,0,20,989
10227,C_READ,C,1,8,2,2,19,0
10227,P_WRITE,P,1,7,1,1,20,3157
11101,C_READ,C,2,0,2,2,19,0
11101,C_READ,C,2,7,2,2,18,0
11101,P_WRITE,P,4,7,4,4,19,800
11101,P_WRITE,P,4,7,4,4,20,0
11230,C_READ,C,1,7,4,4,19,0
11230,P_WRITE,P,4,2,4,4,20,129
12125,C_READ,C,2,7,4,4,19,0
12125,C_READ,C,2,2,4,4,18,0
12125,P_WRITE,P,3,1,3,3,19,3014
12125,P_WRITE,P,4,9,4,4,20,895
12515,C_READ,C,0,9,4,4,19,0
12516,P_WRITE,P,1,9,1,1,20,27
13139,C_READ,C,2,1,3,3,19,0
13139,P_WRITE,P,2,6,2,2,20,1809
13245,C_READ,C,1,0,2,2,19,0
13245,P_WRITE,P,0,2,0,0,20,2931
13771,C_READ,C,0,3,2,2,19,0
13771,P_WRITE,P,3,9,3,3,20,638
15162,C_READ,C,2,9,3,3,19,0
15162,C_READ,C,2,0,2,2,19,0
15162,P_WRITE,P,2,3,2,2,20,999
15162,P_WRITE,P,3,2,3,3,20,1390
16270,C_READ,C,1,2,3,3,19,0
16270,P_WRITE,P,4,6,4,4,20,3131
17265,C_READ,C,2,6,4,4,19,0
17265,P_WRITE,P,2,9,2,2,20,911
18287,C_READ,C,0,6,2,2,19,0
18287,P_WRITE,P,3,0,3,3,20,2123
19555,C_READ,C,1,0,3,3,19,0
19555,P_WRITE,P,2,6,2,2,20,1067
