# producers=5 consumers=3 q=20 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,0,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,5,1,1,2,0
0,P_START,P,2,-1,-1,-1,2,0
0,P_WRITE,P,2,9,2,2,3,0
0,P_START,P,3,-1,-1,-1,3,0
0,P_WRITE,P,3,9,3,3,4,0
0,P_START,P,4,-1,-1,-1,4,0
0,P_WRITE,P,4,0,4,4,5,0
0,C_START,C,0,-1,-1,-1,5,0
0,C_READ,C,0,0,4,4,4,0
0,C_READ,C,0,9,3,3,3,0
0,C_START,C,1,-1,-1,-1,3,0
0,C_READ,C,1,9,2,2,2,0
0,C_START,C,2,-1,-1,-1,2,0
0,C_READ,C,2,5,1,1,1,0
1133,C_READ,C,1,0,0,0,0,0
1475,P_WRITE,P,3,6,3,3,1,0
1498,P_WRITE,P,0,0,0,0,2,0
2144,C_READ,C,1,6,3,3,1,0
2231,P_WRITE,P,2,0,2,2,2,0
2503,P_WRITE,P,3,8,3,3,3,0
2583,P_WRITE,P,1,7,1,1,4,0
3053,C_READ,C,0,8,3,3,3,0
3053,C_READ,C,0,0,2,2,2,0
3247,P_WRITE,P,2,1,2,2,3,0
3813,P_WRITE,P,0,7,0,0,4,0
4081,P_WRITE,P,4,9,4,4,5,0
4177,C_READ,C,1,9,4,4,4,0
4544,P_WRITE,P,3,4,3,3,5,0
4544,P_WRITE,P,3,4,3,3,6,0
4544,P_WRITE,P,3,8,3,3,7,0
4544,P_WRITE,P,3,8,3,3,8,0
4620,P_WRITE,P,1,0,1,1,9,0
4849,P_WRITE,P,0,9,0,0,10,0
5196,C_READ,C,1,4,3,3,9,0
5866,P_WRITE,P,0,3,0,0,10,0
6050,P_WRITE,P,2,0,2,2,11,0
6111,C_READ,C,0,4,3,3,10,0
6126,P_WRITE,P,4,3,4,4,11,0
6635,P_WRITE,P,1,3,1,1,12,0
7065,P_WRITE,P,2,6,2,2,13,0
7242,C_READ,C,1,3,4,4,12,0
7242,C_READ,C,1,8,3,3,11,0
7935,P_WRITE,P,0,6,0,0,12,0
8161,C_READ,C,0,8,3,3,11,0
8184,P_WRITE,P,4,5,4,4,12,0
8276,C_READ,C,1,5,4,4,11,0
8895,P_WRITE,P,3,9,3,3,12,0
8940,P_WRITE,P,0,5,0,0,13,0
9215,P_WRITE,P,4,4,4,4,14,0
9856,P_WRITE,P,1,0,1,1,15,0
9918,P_WRITE,P,3,2,3,3,16,0
9918,P_WRITE,P,3,1,3,3,17,0
9970,P_WRITE,P,0,0,0,0,18,0
10198,C_READ,C,0,4,4,4,17,0
10240,P_WRITE,P,4,3,4,4,18,0
10872,P_WRITE,P,1,6,1,1,19,0
10999,P_WRITE,P,0,2,0,0,20,0
14349,C_READ,C,0,3,4,4,19,0
14349,P_WRITE,P,4,6,4,4,20,2045
16022,C_READ,C,0,6,4,4,19,0
16022,P_WRITE,P,0,8,0,0,20,2966
16801,C_READ,C,2,9,3,3,19,0
16801,C_READ,C,2,2,3,3,19,0
16801,P_WRITE,P,1,8,1,1,20,3770
16801,P_WRITE,P,1,3,1,1,20,0
19100,C_READ,C,0,1,3,3,19,0
19100,P_WRITE,P,0,2,0,0,20,702
20000,STOP_SET_TIMEOUT,M,0,-1,-1,-1,20,0
20015,P_EXIT,P,2,-1,-1,-1,20,0
20028,P_EXIT,P,4,-1,-1,-1,20,0
20030,P_EXIT,P,1,-1,-1,-1,20,0
20053,C_EXIT,C,2,-1,-1,-1,20,0
20060,P_EXIT,P,3,-1,-1,-1,20,0
20112,C_EXIT,C,0,-1,-1,-1,20,0
20230,P_EXIT,P,0,-1,-1,-1,20,0
20260,C_EXIT,C,1,-1,-1,-1,20,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=41 cons_ops=21 runtime_s=20.260 throughput=1.037 prod_block_ms=9483 prod_block_ev=4 cons_block_ms=0 cons_block_ev=0 max_q=20
20260,RUN_END,M,0,-1,-1,-1,20,0
