# producers=5 consumers=3 q=4 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,5,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,4,1,1,2,0
0,P_WRITE,P,1,3,1,1,3,0
0,P_START,P,2,-1,-1,-1,3,0
0,P_WRITE,P,2,6,2,2,4,0
0,P_START,P,3,-1,-1,-1,4,0
0,P_START,P,4,-1,-1,-1,4,0
0,C_START,C,0,-1,-1,-1,4,0
0,C_READ,C,0,6,2,2,3,0
0,C_READ,C,0,4,1,1,2,0
0,P_WRITE,P,3,2,3,3,3,0
0,P_WRITE,P,4,5,4,4,4,0
0,C_START,C,1,-1,-1,-1,4,0
0,C_READ,C,1,5,4,4,3,0
0,C_READ,C,1,2,3,3,2,0
0,C_READ,C,1,3,1,1,1,0
0,C_START,C,2,-1,-1,-1,4,0
0,C_READ,C,2,5,0,0,0,0
3709,P_WRITE,P,0,2,0,0,1,0
4391,P_WRITE,P,1,0,1,1,2,0
4520,P_WRITE,P,4,9,4,4,3,0
4925,P_WRITE,P,2,8,2,2,4,0
6432,C_READ,C,0,9,4,4,3,0
6432,P_WRITE,P,3,0,3,3,4,1145
8079,C_READ,C,2,0,3,3,3,0
8079,P_WRITE,P,0,7,0,0,4,964
10156,C_READ,C,2,8,2,2,3,0
10157,P_WRITE,P,3,0,3,3,4,3724
11450,C_READ,C,2,0,3,3,3,0
11450,P_WRITE,P,4,7,4,4,4,4903
13493,C_READ,C,2,7,4,4,3,0
13493,P_WRITE,P,2,9,2,2,4,2706
14520,C_READ,C,2,9,2,2,3,0
14520,C_READ,C,2,0,1,1,2,0
14520,P_WRITE,P,1,3,1,1,3,2503
14520,P_WRITE,P,0,5,0,0,4,6441
14554,C_READ,C,1,3,1,1,3,0
14554,C_READ,C,1,2,0,0,3,0
14554,P_WRITE,P,3,4,3,3,4,2673
14554,P_WRITE,P,0,4,0,0,4,34
15550,C_READ,C,2,4,3,3,3,0
15550,P_WRITE,P,3,3,3,3,4,996
16510,C_READ,C,0,3,3,3,3,0
16641,P_WRITE,P,3,6,3,3,4,0
17587,C_READ,C,2,6,3,3,3,0
18692,P_WRITE,P,3,4,3,3,4,0
19825,C_READ,C,1,4,3,3,3,0
20728,P_WRITE,P,3,0,3,3,4,0
21022,C_EXIT,C,1,-1,-1,-1,4,0
21022,STOP_SET_TIMEOUT,M,0,-1,-1,-1,4,0
21022,P_EXIT,P,4,-1,-1,-1,4,0
21087,P_EXIT,P,2,-1,-1,-1,4,0
21089,P_EXIT,P,1,-1,-1,-1,4,0
21147,P_EXIT,P,3,-1,-1,-1,4,0
21176,C_EXIT,C,0,-1,-1,-1,4,0
23117,P_EXIT,P,0,-1,-1,-1,4,0
23119,C_EXIT,C,2,-1,-1,-1,4,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=23 cons_ops=19 runtime_s=23.119 throughput=0.822 prod_block_ms=26089 prod_block_ev=10 cons_block_ms=0 cons_block_ev=0 max_q=4
23119,RUN_END,M,0,-1,-1,-1,4,0
